CustomerID,Name,Age,Gender,City,States,JointDate,CustomerType,Status
CUST00001,Vikram,44,M,Mumbai,MH,2022-01-01,Regular,Active
CUST00002,Neha,47,F,Mumbai,GJ,2022-01-02,Regular,Active
CUST00003,Pooja,47,M,Kolkata,TG,2022-01-03,Premium,Active
CUST00004,Amit,20,F,Chennai,DL,2022-01-04,Regular,Active
CUST00005,Vikram,60,F,Hyderabad,MH,2022-01-05,Regular,Active
CUST00006,Meera,24,F,Chennai,MH,2022-01-06,Regular,Active
CUST00007,Rahul,26,F,Hyderabad,TN,2022-01-07,Regular,Active
CUST00008,Vikram,58,F,Bangalore,DL,2022-01-08,Regular,Active
CUST00009,Pooja,59,F,Delhi,TG,2022-01-09,Regular,Active
CUST00010,Amit,30,F,Kolkata,GJ,2022-01-10,Regular,Active
CUST00011,Neha,32,F,Hyderabad,WB,2022-01-11,Regular,Active
CUST00012,Pooja,22,F,Hyderabad,WB,2022-01-12,Regular,Active
CUST00013,Pooja,46,M,Chennai,GJ,2022-01-13,Premium,Active
CUST00014,Rahul,52,M,Kolkata,WB,2022-01-14,Regular,Active
CUST00015,Sneha,44,M,Pune,KA,2022-01-15,Regular,Active
CUST00016,Amit,44,M,Hyderabad,WB,2022-01-16,Premium,Active
CUST00017,Priya,25,F,Bangalore,KA,2022-01-17,Premium,Active
CUST00018,Pooja,49,F,Mumbai,TG,2022-01-18,Regular,Active
CUST00019,Sneha,37,M,Hyderabad,TG,2022-01-19,Regular,Active
CUST00020,Priya,27,M,Chennai,MH,2022-01-20,Premium,Active
CUST00021,Amit,30,M,Pune,GJ,2022-01-21,Regular,Active
CUST00022,Ankit,46,M,Ahmedabad,WB,2022-01-22,Regular,Active
CUST00023,Meera,52,F,Bangalore,TN,2022-01-23,Premium,Active
CUST00024,Sneha,25,M,Kolkata,TG,2022-01-24,Regular,Active
CUST00025,Raj,46,F,Hyderabad,DL,2022-01-25,Regular,Active
CUST00026,Ankit,48,F,Bangalore,DL,2022-01-26,Regular,Active
CUST00027,Meera,58,F,Ahmedabad,GJ,2022-01-27,Regular,Active
CUST00028,Rahul,47,M,Bangalore,GJ,2022-01-28,Premium,Active
CUST00029,Vikram,39,M,Pune,TG,2022-01-29,Regular,Active
CUST00030,Neha,38,F,Bangalore,MH,2022-01-30,Regular,Active
CUST00031,Raj,29,M,Bangalore,GJ,2022-01-31,Regular,Active
CUST00032,Rahul,28,M,Pune,MH,2022-02-01,Premium,Active
CUST00033,Amit,19,F,Pune,DL,2022-02-02,Regular,Active
CUST00034,Rahul,58,F,Ahmedabad,GJ,2022-02-03,Regular,Active
CUST00035,Vikram,19,M,Pune,DL,2022-02-04,Regular,Active
CUST00036,Amit,51,F,Bangalore,MH,2022-02-05,Regular,Active
CUST00037,Raj,20,M,Bangalore,MH,2022-02-06,Regular,Active
CUST00038,Vikram,33,M,Delhi,MH,2022-02-07,Premium,Active
CUST00039,Priya,21,F,Kolkata,MH,2022-02-08,Regular,Active
CUST00040,Neha,40,F,Mumbai,MH,2022-02-09,Regular,Active
CUST00041,Raj,37,M,Kolkata,TN,2022-02-10,Premium,Active
CUST00042,Priya,42,F,Chennai,MH,2022-02-11,Regular,Active
CUST00043,Meera,47,M,Chennai,MH,2022-02-12,Regular,Active
CUST00044,Raj,35,F,Ahmedabad,MH,2022-02-13,Regular,Active
CUST00045,Meera,59,M,Pune,TG,2022-02-14,Premium,Active
CUST00046,Amit,28,F,Kolkata,GJ,2022-02-15,Regular,Active
CUST00047,Priya,46,M,Bangalore,GJ,2022-02-16,Regular,Active
CUST00048,Neha,34,M,Delhi,WB,2022-02-17,Regular,Active
CUST00049,Vikram,43,F,Mumbai,TG,2022-02-18,Premium,Active
CUST00050,Pooja,40,M,Hyderabad,WB,2022-02-19,Regular,Active
CUST00051,Rahul,37,M,Hyderabad,TN,2022-02-20,Regular,Active
CUST00052,Ankit,62,M,Bangalore,TN,2022-02-21,Premium,Active
CUST00053,Neha,19,M,Kolkata,GJ,2022-02-22,Regular,Active
CUST00054,Priya,41,M,Hyderabad,GJ,2022-02-23,Regular,Active
CUST00055,Pooja,48,F,Kolkata,DL,2022-02-24,Regular,Active
CUST00056,Neha,44,M,Delhi,MH,2022-02-25,Regular,Active
CUST00057,Priya,19,M,Delhi,MH,2022-02-26,Regular,Active
CUST00058,Sneha,31,M,Pune,TG,2022-02-27,Regular,Active
CUST00059,Sneha,21,F,Kolkata,WB,2022-02-28,Regular,Active
CUST00060,Meera,30,F,Pune,TN,2022-03-01,Regular,Active
CUST00061,Neha,53,M,Bangalore,TN,2022-03-02,Regular,Active
CUST00062,Sneha,52,M,Pune,GJ,2022-03-03,Regular,Active
CUST00063,Priya,61,F,Bangalore,TG,2022-03-04,Regular,Active
CUST00064,Meera,25,F,Bangalore,DL,2022-03-05,Premium,Active
