CustomerID,BillDate,Amount,PaymentStatus,PaymentMethod,PaymentDate,Name,Age,Gender,City,States,JointDate,CustomerType,Status
CUST07641,2021-09-24,4088.73,Paid,Card,2021-09-28,Raj,27,M,Mumbai,MH,2042-12-02,Regular,Active
CUST02788,2021-02-25,5300.0,Paid,UPI,2021-02-27,Rahul,51,F,Mumbai,KA,2029-08-19,Regular,Active
CUST05958,2021-02-03,6021.13,Paid,Net Banking,2021-02-07,Priya,44,F,Delhi,MH,2038-04-24,Regular,Active
CUST05045,2021-03-23,1300.59,Paid,Net Banking,2021-03-24,Meera,52,M,Pune,GJ,2035-10-24,Regular,Active
CUST03357,2021-07-17,2966.23,Paid,Card,2021-07-22,Amit,22,M,Ahmedabad,WB,2031-03-11,Regular,Active
CUST06481,2021-08-20,10362.85,Late,Card,2021-09-01,Amit,24,F,Delhi,WB,2039-09-29,Premium,Active
CUST02189,2021-08-01,11041.43,Paid,UPI,2021-08-06,Sneha,27,M,Mumbai,WB,2027-12-29,Premium,Active
CUST04784,2021-05-23,17055.55,Paid,Wallet,2021-05-28,Neha,23,M,Hyderabad,WB,2035-02-05,Regular,Active
CUST01962,2021-04-04,9958.43,Paid,Net Banking,2021-04-04,Meera,39,F,Delhi,TN,2027-05-16,Regular,Active
CUST08929,2021-07-29,1181.23,Paid,Net Banking,2021-07-31,Priya,34,F,Mumbai,MH,2046-06-12,Regular,Active
CUST02964,2021-03-29,10964.87,Paid,Card,2021-03-30,Ankit,63,F,Bangalore,TG,2030-02-11,Regular,Active
CUST03937,2021-02-09,15897.55,Paid,UPI,2021-02-12,Amit,26,F,Mumbai,MH,2032-10-11,Regular,Active
CUST06407,2021-09-08,16273.74,Missed,Card,,Neha,50,F,Mumbai,TN,2039-07-17,Regular,Active
CUST07007,2021-01-03,999.93,Late,UPI,2021-01-15,Raj,46,M,Mumbai,WB,2041-03-08,Regular,Active
CUST05870,2021-09-08,19725.74,Paid,Card,2021-09-09,Priya,46,F,Kolkata,GJ,2038-01-26,Regular,Active
CUST06294,2021-03-09,17640.1,Paid,Card,2021-03-13,Neha,25,M,Delhi,WB,2039-03-26,Regular,Active
CUST07875,2021-06-16,15977.53,Paid,Card,2021-06-16,Meera,58,F,Ahmedabad,MH,2043-07-24,Regular,Active
CUST09425,2021-06-12,8519.04,Missed,Net Banking,,Meera,29,F,Ahmedabad,KA,2047-10-21,Regular,Active
CUST02041,2021-02-11,12718.45,Paid,Card,2021-02-13,Priya,29,F,Chennai,TG,2027-08-03,Regular,Active
CUST08205,2021-03-13,9533.12,Paid,Card,2021-03-15,Priya,61,M,Delhi,TG,2044-06-18,Regular,Active
CUST03263,2021-11-24,18101.41,Late,Net Banking,2021-11-30,Vikram,47,M,Pune,TN,2030-12-07,Regular,Active
CUST07165,2021-11-24,3601.67,Paid,Net Banking,2021-11-29,Ankit,29,F,Delhi,GJ,2041-08-13,Regular,Active
CUST00706,2021-03-19,3467.47,Paid,Net Banking,2021-03-21,Priya,50,M,Pune,KA,2023-12-07,Regular,Active
CUST02031,2021-02-05,5841.78,Missed,Net Banking,,Pooja,56,M,Kolkata,DL,2027-07-24,Regular,Active
CUST00940,2021-03-07,12829.01,Paid,Net Banking,2021-03-10,Vikram,46,F,Ahmedabad,MH,2024-07-28,Regular,Active
CUST05166,2021-11-28,9001.22,Missed,Card,,Vikram,32,M,Hyderabad,TN,2036-02-22,Regular,Active
CUST01863,2021-04-05,9415.14,Paid,Net Banking,2021-04-07,Rahul,46,M,Kolkata,TG,2027-02-06,Regular,Active
CUST07917,2021-10-26,1288.92,Paid,UPI,2021-10-28,Sneha,53,M,Kolkata,WB,2043-09-04,Regular,Active
CUST05175,2021-12-25,12405.02,Paid,Net Banking,2021-12-30,Vikram,40,F,Pune,TN,2036-03-02,Regular,Active
CUST02979,2021-06-26,8795.69,Paid,Wallet,2021-06-26,Raj,48,F,Pune,MH,2030-02-26,Regular,Active
CUST01615,2021-10-26,3040.13,Late,Card,2021-11-04,Ankit,22,M,Pune,TN,2026-06-03,Regular,Active
CUST00295,2021-01-23,16799.58,Paid,Card,2021-01-27,Ankit,50,F,Hyderabad,MH,2022-10-22,Regular,Active
CUST00872,2021-11-13,14330.78,Paid,Card,2021-11-16,Ankit,58,M,Kolkata,GJ,2024-05-21,Regular,Active
CUST07246,2021-08-14,19969.36,Paid,UPI,2021-08-18,Ankit,45,M,Delhi,TN,2041-11-02,Regular,Active
CUST07964,2021-06-25,3779.13,Paid,UPI,2021-06-27,Ankit,63,F,Hyderabad,TG,2043-10-21,Premium,Active
CUST09035,2021-10-13,13866.94,Paid,Net Banking,2021-10-14,Amit,41,F,Bangalore,TG,2046-09-26,Regular,Active
CUST02194,2021-11-20,14613.26,Paid,Wallet,2021-11-20,Rahul,64,M,Delhi,TN,2028-01-03,Premium,Active
CUST04464,2021-02-02,13200.96,Late,UPI,2021-02-09,Amit,32,F,Chennai,MH,2034-03-22,Regular,Active
CUST01568,2021-11-14,9915.41,Paid,Card,2021-11-19,Rahul,34,F,Ahmedabad,MH,2026-04-17,Regular,Active
CUST03841,2021-04-26,11138.75,Paid,Net Banking,2021-04-27,Sneha,25,F,Hyderabad,DL,2032-07-07,Regular,Active
CUST00904,2021-10-30,11923.61,Paid,Wallet,2021-11-02,Priya,39,M,Delhi,WB,2024-06-22,Premium,Active
CUST04080,2021-06-16,11736.22,Late,UPI,2021-07-04,Ankit,34,F,Hyderabad,TG,2033-03-03,Regular,Active
CUST09906,2021-03-08,4029.25,Late,UPI,2021-03-15,Rahul,40,F,Ahmedabad,WB,2049-02-13,Regular,Active
CUST04079,2021-07-29,5458.12,Paid,Wallet,2021-07-30,Vikram,24,M,Delhi,DL,2033-03-02,Regular,Active
CUST00915,2021-05-28,9613.03,Paid,UPI,2021-05-31,Raj,31,M,Ahmedabad,TG,2024-07-03,Regular,Active
CUST01634,2021-02-01,8064.73,Late,Card,2021-02-14,Rahul,52,M,Chennai,GJ,2026-06-22,Regular,Active
CUST04770,2021-01-08,7434.78,Paid,Card,2021-01-12,Pooja,27,M,Pune,WB,2035-01-22,Regular,Active
CUST06801,2021-07-16,18800.12,Paid,UPI,2021-07-17,Meera,39,F,Chennai,TN,2040-08-14,Regular,Active
CUST07573,2021-06-23,6715.69,Paid,Net Banking,2021-06-26,Ankit,48,M,Mumbai,WB,2042-09-25,Premium,Active
CUST06812,2021-11-28,10165.9,Paid,Net Banking,2021-11-28,Sneha,30,M,Chennai,TG,2040-08-25,Regular,Active
CUST07394,2021-12-29,2231.05,Paid,Card,2022-01-03,Ankit,35,M,Mumbai,TG,2042-03-30,Regular,Active
CUST01142,2021-09-28,853.96,Late,UPI,2021-10-11,Vikram,38,F,Chennai,DL,2025-02-15,Premium,Active
CUST02348,2021-06-27,11503.04,Paid,Wallet,2021-06-29,Priya,41,M,Mumbai,TN,2028-06-05,Premium,Active
CUST07826,2021-11-16,16806.31,Late,Wallet,2021-11-25,Amit,55,F,Bangalore,MH,2043-06-05,Regular,Active
CUST05876,2021-05-08,3251.27,Late,UPI,2021-05-14,Priya,37,F,Pune,MH,2038-02-01,Premium,Active
CUST03272,2021-05-27,7295.38,Late,UPI,2021-06-14,Priya,32,F,Kolkata,TN,2030-12-16,Premium,Active
CUST05896,2021-12-30,4150.04,Paid,UPI,2021-12-31,Priya,23,M,Chennai,WB,2038-02-21,Regular,Active
CUST09568,2021-08-06,15913.21,Late,Wallet,2021-08-21,Raj,28,M,Kolkata,TN,2048-03-12,Regular,Active
CUST00384,2021-12-15,7207.27,Paid,Net Banking,2021-12-17,Meera,47,F,Ahmedabad,MH,2023-01-19,Regular,Active
CUST02766,2021-06-22,3892.85,Paid,Card,2021-06-23,Amit,30,F,Mumbai,DL,2029-07-28,Premium,Active
CUST09499,2021-09-17,964.66,Paid,Net Banking,2021-09-21,Pooja,64,F,Delhi,MH,2048-01-03,Regular,Active
CUST05430,2021-09-08,4126.28,Paid,UPI,2021-09-12,Meera,43,M,Mumbai,WB,2036-11-12,Regular,Active
CUST04493,2021-01-31,6926.22,Paid,Card,2021-02-04,Pooja,61,F,Ahmedabad,DL,2034-04-20,Regular,Active
CUST03594,2021-05-10,8071.43,Late,Card,2021-05-23,Ankit,22,F,Bangalore,MH,2031-11-03,Regular,Active
CUST02303,2021-09-17,9783.43,Paid,Card,2021-09-18,Priya,32,F,Ahmedabad,MH,2028-04-21,Regular,Active
CUST01631,2021-03-14,14636.06,Late,Net Banking,2021-03-27,Vikram,23,M,Chennai,TN,2026-06-19,Regular,Active
CUST05196,2021-08-28,15756.42,Paid,Card,2021-09-02,Raj,57,F,Bangalore,WB,2036-03-23,Regular,Active
CUST05659,2021-05-20,7251.08,Paid,UPI,2021-05-20,Sneha,30,M,Delhi,KA,2037-06-29,Regular,Active
CUST04044,2021-03-14,3396.7,Missed,UPI,,Neha,44,F,Ahmedabad,GJ,2033-01-26,Regular,Active
CUST05079,2021-04-02,3336.93,Paid,Card,2021-04-07,Ankit,20,M,Kolkata,MH,2035-11-27,Premium,Active
CUST01620,2021-02-11,7860.1,Paid,Card,2021-02-15,Meera,38,M,Bangalore,WB,2026-06-08,Regular,Active
CUST02913,2021-05-07,19246.39,Paid,Net Banking,2021-05-09,Meera,60,F,Bangalore,DL,2029-12-22,Regular,Active
CUST09236,2021-03-15,19406.0,Paid,Card,2021-03-20,Ankit,18,F,Hyderabad,DL,2047-04-15,Regular,Active
CUST06104,2021-08-03,15961.23,Paid,Card,2021-08-06,Neha,25,F,Ahmedabad,MH,2038-09-17,Regular,Active
CUST04904,2021-12-20,12766.23,Paid,Card,2021-12-23,Pooja,20,M,Hyderabad,WB,2035-06-05,Regular,Active
CUST05787,2021-03-30,10448.06,Paid,Card,2021-03-30,Meera,21,F,Mumbai,TN,2037-11-04,Regular,Active
CUST04174,2021-05-21,4092.65,Late,Wallet,2021-05-28,Raj,58,M,Mumbai,TN,2033-06-05,Regular,Active
CUST08220,2021-02-05,9914.21,Paid,Wallet,2021-02-07,Sneha,46,F,Mumbai,MH,2044-07-03,Regular,Active
CUST06652,2021-09-08,13705.46,Paid,Wallet,2021-09-13,Sneha,36,F,Hyderabad,GJ,2040-03-18,Regular,Active
CUST04380,2021-02-19,2259.42,Paid,Net Banking,2021-02-22,Priya,49,M,Kolkata,TG,2033-12-28,Regular,Active
CUST01596,2021-05-02,8271.13,Paid,Wallet,2021-05-07,Ankit,39,F,Delhi,MH,2026-05-15,Regular,Active
CUST07273,2021-05-14,4352.13,Paid,UPI,2021-05-14,Raj,61,F,Kolkata,GJ,2041-11-29,Regular,Active
CUST08993,2021-11-29,19465.65,Late,Wallet,2021-12-06,Vikram,32,F,Hyderabad,MH,2046-08-15,Regular,Active
CUST08281,2021-01-18,17224.19,Paid,Wallet,2021-01-19,Priya,23,M,Bangalore,TG,2044-09-02,Premium,Active
CUST02995,2021-08-18,9033.9,Late,Net Banking,2021-08-30,Meera,30,F,Hyderabad,TN,2030-03-14,Premium,Active
CUST00287,2021-02-17,9414.63,Paid,Net Banking,2021-02-18,Priya,41,F,Bangalore,TN,2022-10-14,Regular,Active
CUST06141,2021-08-28,10095.85,Missed,Net Banking,,Pooja,32,M,Ahmedabad,KA,2038-10-24,Regular,Active
CUST09880,2021-03-20,7294.71,Paid,Net Banking,2021-03-25,Vikram,35,M,Pune,WB,2049-01-18,Premium,Active
CUST01985,2021-04-05,17778.55,Paid,Net Banking,2021-04-09,Amit,46,M,Delhi,DL,2027-06-08,Regular,Active
CUST05336,2021-12-27,2254.88,Late,Card,2022-01-10,Raj,56,F,Hyderabad,TN,2036-08-10,Regular,Active
CUST05863,2021-03-19,4632.47,Late,Wallet,2021-03-27,Pooja,34,M,Chennai,MH,2038-01-19,Regular,Active
CUST09208,2021-04-12,8867.78,Paid,UPI,2021-04-14,Neha,60,M,Pune,MH,2047-03-18,Premium,Active
CUST01586,2021-12-05,9016.96,Late,UPI,2021-12-12,Priya,30,M,Mumbai,WB,2026-05-05,Regular,Active
CUST02941,2021-01-03,735.1,Paid,Net Banking,2021-01-03,Ankit,63,F,Mumbai,MH,2030-01-19,Regular,Active
CUST00027,2021-06-01,17662.13,Paid,Card,2021-06-01,Meera,58,F,Ahmedabad,GJ,2022-01-27,Regular,Active
CUST04994,2021-09-24,5773.5,Paid,Net Banking,2021-09-29,Vikram,53,M,Bangalore,TN,2035-09-03,Premium,Active
CUST01314,2021-11-18,5432.86,Paid,Wallet,2021-11-22,Priya,59,M,Delhi,WB,2025-08-06,Regular,Active
CUST01743,2021-08-28,8469.07,Late,Wallet,2021-09-05,Amit,60,F,Chennai,MH,2026-10-09,Premium,Active
CUST09801,2021-04-14,11450.0,Paid,Net Banking,2021-04-18,Meera,60,F,Kolkata,DL,2048-10-31,Regular,Active
CUST04392,2021-12-25,17248.21,Late,Net Banking,2022-01-03,Pooja,49,F,Pune,TG,2034-01-09,Regular,Active
CUST06877,2021-12-02,4266.2,Paid,Net Banking,2021-12-07,Vikram,23,M,Mumbai,WB,2040-10-29,Regular,Active
CUST07889,2021-04-30,13875.56,Paid,Card,2021-05-01,Ankit,34,F,Hyderabad,GJ,2043-08-07,Premium,Active
CUST06232,2021-02-22,13993.7,Late,Net Banking,2021-03-13,Priya,34,F,Kolkata,TG,2039-01-23,Regular,Active
CUST07654,2021-04-28,6711.16,Paid,UPI,2021-04-29,Ankit,27,M,Kolkata,GJ,2042-12-15,Regular,Active
CUST06010,2021-12-25,5039.68,Missed,Card,,Amit,55,M,Mumbai,TG,2038-06-15,Regular,Active
CUST03159,2021-03-25,6999.29,Paid,Card,2021-03-30,Rahul,37,F,Delhi,MH,2030-08-25,Regular,Active
CUST08783,2021-06-23,13321.87,Late,Card,2021-07-09,Sneha,24,F,Delhi,MH,2046-01-17,Regular,Active
CUST09752,2021-08-21,13270.28,Paid,Wallet,2021-08-26,Ankit,33,M,Kolkata,MH,2048-09-12,Regular,Active
CUST04193,2021-09-19,14539.0,Late,Card,2021-10-04,Meera,51,M,Pune,WB,2033-06-24,Regular,Active
CUST03406,2021-12-21,13017.6,Paid,UPI,2021-12-24,Ankit,31,M,Chennai,TG,2031-04-29,Regular,Active
CUST03243,2021-03-31,2958.2,Missed,Net Banking,,Pooja,40,M,Mumbai,WB,2030-11-17,Regular,Active
CUST07201,2021-12-16,14667.87,Paid,Card,2021-12-19,Raj,32,F,Hyderabad,GJ,2041-09-18,Premium,Active
CUST04596,2021-08-07,6511.11,Paid,Net Banking,2021-08-09,Raj,27,F,Delhi,MH,2034-08-01,Regular,Active
CUST07528,2021-10-27,1618.33,Paid,Card,2021-10-30,Pooja,25,F,Pune,MH,2042-08-11,Regular,Active
CUST05934,2021-05-24,13370.19,Paid,Card,2021-05-26,Meera,57,M,Mumbai,MH,2038-03-31,Regular,Active
CUST00081,2021-04-14,11972.32,Late,Net Banking,2021-04-24,Vikram,51,M,Hyderabad,MH,2022-03-22,Regular,Active
CUST09504,2021-02-05,15742.23,Late,Card,2021-02-19,Vikram,58,F,Delhi,WB,2048-01-08,Premium,Active
CUST04644,2021-11-22,19599.2,Late,UPI,2021-11-30,Rahul,47,F,Bangalore,KA,2034-09-18,Regular,Active
CUST04089,2021-06-30,5857.13,Paid,Net Banking,2021-07-03,Sneha,48,F,Kolkata,WB,2033-03-12,Regular,Active
CUST02594,2021-06-30,9366.38,Paid,UPI,2021-06-30,Raj,29,F,Ahmedabad,MH,2029-02-06,Regular,Active
CUST06253,2021-01-21,5167.64,Paid,Wallet,2021-01-21,Sneha,33,M,Bangalore,MH,2039-02-13,Regular,Active
CUST06516,2021-06-23,9472.94,Paid,Wallet,2021-06-26,Neha,41,F,Kolkata,TN,2039-11-03,Regular,Active
CUST09691,2021-09-24,19676.36,Paid,UPI,2021-09-28,Sneha,29,F,Delhi,TG,2048-07-13,Regular,Active
CUST00261,2021-01-25,3005.41,Paid,UPI,2021-01-28,Priya,36,M,Mumbai,GJ,2022-09-18,Regular,Active
CUST09860,2021-09-23,2920.8,Paid,Net Banking,2021-09-25,Amit,42,F,Bangalore,KA,2048-12-29,Regular,Active
CUST02489,2021-09-30,2171.53,Paid,UPI,2021-09-30,Ankit,48,F,Ahmedabad,MH,2028-10-24,Premium,Active
CUST02669,2021-12-25,6800.44,Late,Net Banking,2022-01-07,Pooja,41,M,Delhi,TG,2029-04-22,Regular,Active
CUST00793,2021-06-05,5845.4,Paid,Net Banking,2021-06-08,Rahul,45,F,Chennai,DL,2024-03-03,Regular,Active
CUST05472,2021-05-16,6983.54,Late,Net Banking,2021-05-25,Raj,28,F,Chennai,DL,2036-12-24,Premium,Active
CUST07342,2021-03-21,19794.05,Paid,Wallet,2021-03-21,Pooja,56,M,Bangalore,TN,2042-02-06,Regular,Active
CUST07193,2021-09-02,15130.35,Paid,UPI,2021-09-06,Neha,20,F,Mumbai,DL,2041-09-10,Regular,Active
CUST02755,2021-09-08,12982.34,Paid,UPI,2021-09-09,Raj,50,M,Bangalore,TG,2029-07-17,Regular,Active
CUST08694,2021-06-11,18639.81,Paid,UPI,2021-06-13,Sneha,33,F,Mumbai,TG,2045-10-20,Regular,Active
CUST01663,2021-12-11,18182.26,Paid,Net Banking,2021-12-11,Vikram,47,M,Delhi,WB,2026-07-21,Premium,Active
CUST02509,2021-09-07,10358.16,Paid,Net Banking,2021-09-08,Meera,31,F,Mumbai,MH,2028-11-13,Regular,Active
CUST09582,2021-04-03,16384.82,Missed,Card,,Priya,47,M,Mumbai,TG,2048-03-26,Regular,Active
CUST03852,2021-12-05,9151.77,Paid,Card,2021-12-06,Ankit,31,M,Bangalore,MH,2032-07-18,Regular,Active
CUST01492,2021-11-03,8282.43,Paid,Net Banking,2021-11-07,Pooja,32,M,Bangalore,MH,2026-01-31,Regular,Active
CUST07070,2021-11-28,3148.97,Late,UPI,2021-12-10,Vikram,55,M,Chennai,KA,2041-05-10,Regular,Active
CUST00700,2021-09-11,15727.76,Paid,UPI,2021-09-15,Rahul,62,F,Mumbai,KA,2023-12-01,Regular,Active
CUST08166,2021-01-31,11060.28,Paid,Net Banking,2021-02-03,Raj,61,M,Pune,MH,2044-05-10,Regular,Active
CUST00079,2021-08-13,19943.4,Late,Wallet,2021-08-23,Ankit,58,M,Chennai,DL,2022-03-20,Regular,Active
CUST05655,2021-02-05,3794.09,Paid,Net Banking,2021-02-08,Vikram,22,M,Pune,TN,2037-06-25,Regular,Active
CUST00522,2021-06-15,14049.54,Late,UPI,2021-07-05,Amit,33,F,Pune,WB,2023-06-06,Regular,Active
CUST04788,2021-03-07,18069.92,Late,Card,2021-03-25,Sneha,45,F,Mumbai,TG,2035-02-09,Regular,Active
CUST02758,2021-10-12,10532.43,Paid,Net Banking,2021-10-13,Pooja,43,M,Bangalore,MH,2029-07-20,Regular,Active
CUST02757,2021-12-15,15688.49,Missed,Wallet,,Ankit,23,F,Kolkata,MH,2029-07-19,Regular,Active
CUST04803,2021-12-05,15834.89,Paid,Card,2021-12-09,Ankit,34,F,Mumbai,DL,2035-02-24,Regular,Active
CUST08070,2021-12-23,14176.56,Paid,Wallet,2021-12-24,Priya,58,M,Delhi,DL,2044-02-04,Regular,Active
CUST03952,2021-04-17,12385.22,Paid,UPI,2021-04-22,Ankit,36,F,Ahmedabad,WB,2032-10-26,Regular,Active
