CustomerID,TicketDate,IssueType,ResolutionTime,SatisfactionScore,Name,Age,Gender,City,States,JointDate,CustomerType,Status
CUST01658,2021-07-26,Service Down,14,3,Vikram,25,M,Hyderabad,DL,2026-07-16,Premium,Active
CUST05488,2021-06-21,Service Down,3,2,Ankit,48,M,Chennai,DL,2037-01-09,Regular,Active
CUST05494,2021-11-18,Payment Issue,7,3,Raj,51,F,Bangalore,GJ,2037-01-15,Regular,Active
CUST08603,2021-12-08,Login Issue,8,3,Amit,57,F,Kolkata,GJ,2045-07-21,Regular,Active
CUST00315,2021-01-02,Payment Issue,5,2,Sneha,23,F,Mumbai,TN,2022-11-11,Premium,Active
CUST03487,2021-03-28,Payment Issue,8,3,Sneha,47,F,Mumbai,KA,2031-07-19,Regular,Active
CUST09541,2021-03-21,Account Blocked,11,1,Sneha,34,M,Kolkata,TN,2048-02-14,Regular,Active
CUST08875,2021-11-27,Payment Issue,4,3,Pooja,64,M,Mumbai,GJ,2046-04-19,Regular,Active
CUST08833,2021-12-22,Account Blocked,4,1,Neha,63,F,Pune,WB,2046-03-08,Regular,Active
CUST04809,2021-02-14,Service Down,8,4,Ankit,42,F,Chennai,DL,2035-03-02,Premium,Active
CUST02142,2021-01-04,Other,5,2,Rahul,39,M,Chennai,TN,2027-11-12,Regular,Active
CUST08006,2021-03-14,Other,6,5,Priya,25,M,Kolkata,KA,2043-12-02,Regular,Active
CUST07003,2021-02-16,Other,6,2,Priya,18,M,Chennai,KA,2041-03-04,Regular,Active
CUST08356,2021-12-31,Payment Issue,4,2,Sneha,63,F,Delhi,MH,2044-11-16,Regular,Active
CUST05716,2021-04-16,Login Issue,14,5,Vikram,18,F,Chennai,KA,2037-08-25,Regular,Active
CUST07831,2021-12-01,Login Issue,2,1,Vikram,61,F,Kolkata,MH,2043-06-10,Regular,Active
CUST05839,2021-08-30,Service Down,7,5,Pooja,46,F,Hyderabad,TN,2037-12-26,Premium,Active
CUST01712,2021-06-11,Payment Issue,5,1,Sneha,62,F,Delhi,WB,2026-09-08,Regular,Active
CUST04257,2021-06-22,Login Issue,4,3,Vikram,33,F,Mumbai,MH,2033-08-27,Regular,Active
CUST01632,2021-04-19,Login Issue,11,4,Ankit,45,F,Kolkata,MH,2026-06-20,Premium,Active
CUST09192,2021-02-09,Other,2,3,Ankit,40,F,Bangalore,MH,2047-03-02,Regular,Active
CUST03300,2021-11-30,Other,8,4,Pooja,42,F,Bangalore,MH,2031-01-13,Regular,Active
CUST03770,2021-01-28,Service Down,8,4,Meera,53,F,Ahmedabad,TG,2032-04-27,Premium,Active
CUST08391,2021-04-02,Account Blocked,6,5,Neha,55,M,Ahmedabad,DL,2044-12-21,Regular,Active
CUST00988,2021-03-31,Payment Issue,5,2,Amit,27,M,Hyderabad,KA,2024-09-14,Premium,Active
CUST04494,2021-04-18,Service Down,7,4,Neha,54,F,Hyderabad,DL,2034-04-21,Regular,Active
CUST07535,2021-01-20,Login Issue,11,2,Meera,21,M,Hyderabad,TG,2042-08-18,Regular,Active
CUST04415,2021-11-26,Login Issue,8,1,Neha,32,F,Chennai,KA,2034-02-01,Regular,Active
CUST04253,2021-02-02,Other,10,2,Neha,35,M,Ahmedabad,GJ,2033-08-23,Regular,Active
CUST03835,2021-10-10,Login Issue,7,4,Neha,39,F,Delhi,DL,2032-07-01,Premium,Active
CUST04310,2021-02-04,Other,6,5,Neha,19,M,Kolkata,WB,2033-10-19,Regular,Active
CUST04637,2021-05-31,Service Down,12,5,Rahul,43,F,Ahmedabad,DL,2034-09-11,Regular,Active
CUST09004,2021-02-01,Other,5,5,Meera,25,F,Delhi,KA,2046-08-26,Premium,Active
CUST00800,2021-10-22,Payment Issue,14,3,Raj,41,M,Delhi,MH,2024-03-10,Regular,Active
CUST04498,2021-02-25,Account Blocked,1,4,Raj,25,F,Hyderabad,KA,2034-04-25,Regular,Active
CUST06511,2021-07-10,Login Issue,5,5,Rahul,35,F,Hyderabad,DL,2039-10-29,Regular,Active
CUST04249,2021-06-18,Service Down,8,5,Rahul,23,M,Hyderabad,WB,2033-08-19,Regular,Active
CUST06556,2021-01-16,Account Blocked,1,2,Neha,37,M,Bangalore,KA,2039-12-13,Regular,Active
CUST03319,2021-02-06,Service Down,3,5,Amit,30,F,Chennai,WB,2031-02-01,Regular,Active
CUST03351,2021-05-28,Payment Issue,9,1,Priya,29,F,Delhi,GJ,2031-03-05,Regular,Active
CUST01961,2021-11-27,Service Down,11,3,Ankit,44,F,Pune,KA,2027-05-15,Premium,Active
CUST06767,2021-07-01,Other,1,5,Neha,59,M,Mumbai,MH,2040-07-11,Regular,Active
CUST01778,2021-04-08,Account Blocked,13,3,Neha,50,M,Kolkata,DL,2026-11-13,Premium,Active
CUST03056,2021-12-29,Login Issue,9,2,Pooja,37,F,Delhi,GJ,2030-05-14,Regular,Active
